kode_kabkota,nama_kabkota,poor_rate_baseline,IPM_baseline,TPT_baseline,poor_rate_s1,IPM_s1,TPT_s1,poor_rate_s2,IPM_s2,TPT_s2,poor_rate_s3,IPM_s3,TPT_s3,delta_poor_rate_s1,delta_IPM_s1,delta_TPT_s1,delta_poor_rate_s2,delta_IPM_s2,delta_TPT_s2,delta_poor_rate_s3,delta_IPM_s3,delta_TPT_s3
JTM001,Kabupaten Bangkalan,169.09027145402536,67.95827587285218,5.659476595584238,169.10704330832735,67.9679087576531,5.647341407565998,169.08541580226245,67.9586342861477,5.659081824395945,168.9204826924691,68.00205323710325,5.650914678125217,0.016771854301993017,0.00963288480092217,-0.012135188018239873,-0.004855651762909474,0.0003584132955154473,-0.00039477118829278623,-0.1697887615562479,0.043777364251070594,-0.008561917459021018
JTM002,Kabupaten Banyuwangi,68.9344166854967,74.16498366836429,4.352599682105203,68.95198448977887,74.17507370562599,4.339888588615288,68.81626249259945,74.17370505855523,4.3429935831900774,68.66917210347945,74.21441149995805,4.333878267001805,0.017567804282165866,0.010090037261704765,-0.012711093489914838,-0.11815419289725071,0.008721390190942202,-0.00960609891512565,-0.265244582017246,0.04942783159376063,-0.018721415103398087
JTM003,Kabupaten Blitar,80.96381903047624,73.32014410749458,4.511907776440671,80.98163507913968,73.33037672347683,4.499017067018805,80.86724551208079,73.32727254970546,4.50405621614018,80.71370333375886,73.36936736836273,4.494907598200751,0.017816048663434003,0.010232615982246784,-0.012890709421865765,-0.09657351839545925,0.007128442210870389,-0.007851560300490945,-0.250115696717387,0.04922326086814621,-0.01700017823992006
JTM004,Kabupaten Bojonegoro,110.91691305841302,72.80794149673893,4.226362771823344,110.95880394934167,72.83200145571888,4.196052835395466,110.86296137215857,72.81192386668913,4.221976425286757,110.56266164181238,72.89961045813587,4.199139188779797,0.04189089092865572,0.024059958979947282,-0.03030993642787827,-0.05395168625445024,0.003982369950193743,-0.0043863465365872045,-0.35425141660063275,0.09166896139693392,-0.027223583043546995
JTM005,Kabupaten Bondowoso,127.78833566712328,71.33004092349186,3.862971454774502,127.81043073827598,71.34273118845897,3.8469846808682555,127.67908350245801,71.33810522264102,3.8540891030379134,127.55613127473018,71.37776545873648,3.8412698470923745,0.02209507115270526,0.012690264967105236,-0.015986773906246476,-0.10925216466526422,0.008064299149154408,-0.008882351736588578,-0.23220439239310053,0.04772453524461184,-0.021701607682127477
JTM006,Kabupaten Gresik,104.7147751077111,78.74280304659453,6.0374582151615,104.73608437465724,78.75504198630793,6.022040005805161,104.61928062304074,78.74985184140638,6.029694381791741,104.18417024983475,78.84695705999789,6.0242433860199345,0.02130926694613322,0.012238939713398622,-0.015418209356338863,-0.09549448467036825,0.007048794811851167,-0.007763833369758721,-0.5306048578763551,0.10415401340335961,-0.013214829141565687
JTM007,Kabupaten Jember,89.60197276162297,71.16932978688205,3.817565537823821,89.614471650194,71.1765085013865,3.808522031953956,89.48840446205736,71.17771267562722,3.808332278364306,89.35053911154847,71.212849988589,3.8025724008805577,0.012498888571030875,0.00717871450444818,-0.009043505869865243,-0.11356829956561398,0.008382888745174455,-0.009233259459515253,-0.25143365007450313,0.043520201706954253,-0.01499313694326343
JTM008,Kabupaten Jombang,84.94399030848572,75.49617835947122,4.309364939367726,84.96176142915984,75.5063851711424,4.29650673735904,84.83258007637028,75.50440195341838,4.3003071337696746,84.60633510169995,75.55998090988015,4.292777713273439,0.01777112067411224,0.010206811671181981,-0.012858202008685815,-0.1114102321154462,0.008223593947164431,-0.009057805598051694,-0.33765520678576877,0.06380255040893701,-0.016587226094287644
JTM009,Kabupaten Kediri,99.44353685522957,74.95815562349686,5.207603189363592,99.45974843285187,74.96746671437954,5.195873386625225,99.34345647722756,74.9655429197545,5.199466516538223,99.16650487069207,75.01077060846424,5.1919549781859535,0.01621157762230041,0.009311090882675899,-0.011729802738367212,-0.10008037800200498,0.007387296257633125,-0.008136672825369118,-0.27703198453750133,0.052614984967377154,-0.015648211177638593
JTM010,Kabupaten Lamongan,104.37853774965396,75.50097156661413,4.936802408005584,104.39736003150544,75.51178211084502,4.923183643789812,104.28142471439594,75.50813983252449,4.9289069842397275,104.10640184153463,75.55499377960619,4.919521377165715,0.01882228185148449,0.01081054423089256,-0.013618764215771684,-0.09711303525801895,0.00716826591036579,-0.007895423765856613,-0.2721359081193242,0.05402221299206644,-0.017281030839868983
JTM011,Kabupaten Lumajang,80.85643925882495,70.28295506459445,3.5293139395665505,80.87140769215804,70.29155215775728,3.518483607418124,80.73882458279024,70.29163663108588,3.519751704116791,80.59946475696177,70.32892938922146,3.5122915659431015,0.014968433333095277,0.008597093162833858,-0.010830332148426436,-0.11761467603470521,0.00868156649143259,-0.009562235449759537,-0.2569745018631835,0.04597432462701079,-0.01702237362344894
JTM012,Kabupaten Madiun,95.66314139394105,74.50154240716083,4.618008147302996,95.68602702822183,74.51468673065979,4.60144936555391,95.53824324026199,74.51076159359555,4.607853755070797,95.34490986894869,74.5641094947087,4.59601672677008,0.02288563428078305,0.013144323498963217,-0.01655878174908576,-0.12489815367905521,0.009219186434719973,-0.010154392232198717,-0.3182315249923562,0.0625670875478761,-0.021991420532915917
JTM013,Kabupaten Magetan,89.7638518183602,76.38249408496596,3.86838027346606,89.7882513541461,76.39650791511194,3.8507261161505806,89.65972506388911,76.39018005896985,3.859914624650447,89.51176598508135,76.43624210301012,3.8460244051098984,0.02439953578590348,0.01401383014598423,-0.01765415731547959,-0.104126754471082,0.0076859740038912605,-0.008465648815612958,-0.2520858332788407,0.05374801804416052,-0.022355868356161768
JTM014,Kabupaten Malang,90.86876450950405,73.43869226385934,5.12895696994465,90.88232784638913,73.4464823423669,5.119143288029006,90.75600548523224,73.44701541705527,5.119789505683183,90.6090647143757,73.48464949255678,5.113480884861147,0.01356333688508471,0.00779007850756841,-0.009813681915643357,-0.11275902427180995,0.008323153195931354,-0.009167464261466307,-0.2596997951283413,0.04595722869744634,-0.015476085083502511
JTM015,Kabupaten Mojokerto,94.76883033215196,76.54249988800515,4.302376171544767,94.78907218226948,76.55412575875435,4.287730286087485,94.65256444827362,76.55108189524783,4.292923594758421,94.37842304097828,76.61744513797412,4.284706400234261,0.02024185011751456,0.011625870749199407,-0.014645885457281516,-0.11626588387834147,0.008582007242679879,-0.009452576786345368,-0.39040729117368755,0.07494524996896246,-0.017669771310505844
JTM016,Kabupaten Nganjuk,99.37582577980542,75.02346564213573,4.269205288994802,99.39600894648858,75.03505780815838,4.254601863631484,99.2487695586762,75.03284412336846,4.2588754429011395,99.0837126189793,75.07887967688912,4.248317259114402,0.020183166683153786,0.011592166022651895,-0.014603425363318046,-0.127056221129223,0.009378481232729996,-0.010329846093662276,-0.29211316082611916,0.055414034753383135,-0.020888029880399728
JTM017,Kabupaten Ngawi,130.58458398239074,73.77497791401304,2.510106614481005,130.6076248482882,73.78821139451597,2.4934355157024073,130.47533181772548,73.78304221316219,2.501224262744416,130.31456992291504,73.83045182233393,2.488567017034875,0.023040865897456797,0.013233480502933048,-0.016671098778597848,-0.10925216466526422,0.008064299149154408,-0.008882351736589023,-0.2700140594756988,0.055473908320891496,-0.0215395974461301
JTM018,Kabupaten Pacitan,121.61691148426385,71.76308081601205,2.0306523018150267,121.6421370125721,71.7775690534997,2.0124005019026128,121.50010608352297,71.77170264695424,2.0211558615633156,121.3409360730353,71.82047723376314,2.0069308597058706,0.025225528308254752,0.014488237487654487,-0.01825179991241388,-0.11680540074088697,0.00862183094218949,-0.009496440251711036,-0.27597541122855773,0.057396417751093054,-0.023721442109156055
JTM019,Kabupaten Pamekasan,138.66747873827842,71.18339316185394,2.018765671142226,138.6875781011238,71.19493719529088,2.0042228816101932,138.56308222537604,71.19109904770758,2.01027809059393,138.3946389453473,71.23770053946345,1.9998526628623066,0.020099362845371616,0.011544033436933887,-0.014542789532032696,-0.10439651290238317,0.007705885853638961,-0.008487580548295792,-0.2728397929311086,0.054307377609504215,-0.018913008279919374
JTM020,Kabupaten Pasuruan,91.3724921445572,72.72492819052813,4.9309575864453405,91.39188167724494,72.73606453427173,4.9169283908349515,91.25514722695377,72.73358984516983,4.921417282728264,91.00930951058184,72.79404231754731,4.913180074156238,0.019389532687739575,0.011136343743601174,-0.014029195610389067,-0.11734491760343246,0.008661654641699101,-0.009540303717076704,-0.3631826339753559,0.06911412701917641,-0.017777512289102404
JTM021,Kabupaten Ponorogo,84.12211487201492,73.73125687950669,4.2451318863071705,84.1437074085443,73.74365851460333,4.229508718715986,83.99451913402314,73.74067518443893,4.234758176748143,83.81910262201401,73.7897085141077,4.223437258867803,0.021592536529382755,0.012401635096637165,-0.015623167591184206,-0.1275957379917827,0.009418304932239607,-0.010373709559027944,-0.30301225000090426,0.058451634601013325,-0.02169462743936723
JTM022,Kabupaten Probolinggo,165.46520829531707,71.09534104799313,3.188718621136746,165.48257973311019,71.10531830250979,3.1761496075994993,165.358114198102,71.10324605234429,3.180011723261621,165.2467378442106,71.13716256151352,3.1702542818509123,0.01737143779311623,0.009977254516655876,-0.012569013537246931,-0.10709409721508223,0.007905004351158595,-0.00870689787512502,-0.21847045110646945,0.04182151352038943,-0.01846433928583391
JTM023,Kabupaten Sampang,208.6116659743118,67.44241173108864,2.9089866295004914,208.62914161394997,67.45244883375038,2.8963422212597747,208.57605786138384,67.44504009525578,2.906091640786344,208.4209517907678,67.48716689402879,2.897216042245215,0.01747563963817811,0.01003710266174096,-0.012644408240716665,-0.03560811292794597,0.002628364167136965,-0.002894988714147395,-0.19071418354400294,0.04475516294014881,-0.011770587255276244
JTM024,Kabupaten Sidoarjo,54.486068121617976,81.86086649364967,6.947805973097019,54.506216887490154,81.87243890162749,6.933227438261703,54.35118890598184,81.87082241852518,6.936840106755551,53.87594466472373,81.97450778001958,6.9330798791883135,0.020148765872178842,0.011572407977823218,-0.014578534835315793,-0.1348792156361327,0.009955924875512778,-0.010965866341467567,-0.6101234568942431,0.11364128636991211,-0.014726093908705273
JTM025,Kabupaten Situbondo,113.76866363012107,71.51663505777167,3.17027368876162,113.79174037175629,71.52988914344103,3.153576632279405,113.65239774624273,71.52521706501436,3.1608211119752747,113.48080490831609,71.5746678463883,3.148375216282849,0.02307674163522222,0.013254085669359483,-0.01669705648221509,-0.11626588387834147,0.00858200724269409,-0.009452576786345368,-0.2878587218049802,0.05803278861662875,-0.02189847247877097
JTM026,Kabupaten Sumenep,168.72003121095736,70.07048136677696,1.9525569001043812,168.739248130816,70.08151857064803,1.9386525976094178,168.59297498982812,70.07985984800969,1.9422270540107185,168.48040922412548,70.1154006121141,1.931200599132687,0.019216919858649817,0.011037203871069323,-0.013904302494963439,-0.1270562211292372,0.009378481232729996,-0.01032984609366272,-0.23962198683187808,0.04491924533714098,-0.021356300971694164
JTM027,Kabupaten Trenggalek,97.04233700790273,72.63075533017464,4.142195883353638,97.0644939789006,72.64348114720813,4.126164322136108,96.92310378128039,72.63955636776458,4.132502057507781,96.76413329163368,72.6859608704533,4.120425926616752,0.022156970997869507,0.012725817033498288,-0.016031561217530133,-0.1192332266223417,0.008801037589947214,-0.009693825845856985,-0.27820371626904716,0.055205540278663534,-0.021769956736886087
JTM028,Kabupaten Tuban,137.05383195454465,72.32208229312134,4.077691057312482,137.07897704092466,72.33652432893004,4.059497460739204,136.952133025955,72.32958906047747,4.0694227940910155,136.69533004937216,72.39645627880587,4.057386330813665,0.025145086380007342,0.01444203580869896,-0.018193596573278015,-0.10169892858965568,0.007506767356133537,-0.008268263221466121,-0.3585019051724885,0.07437398568453091,-0.020304726498816983
